Хозяева,Гости,Первые,Вторые
Йокерит,Металлург Мг,4,5
Сибирь,Динамо Мн,3,2
Барыс,Локомотив,1,4
Трактор,Автомобилист,4,3
Ак Барс,Авангард,3,2
Северсталь,Динамо Р,2,0
ХК Сочи,Металлург Мг,2,3
Адмирал,ЦСКА,1,2
Амур,Динамо Мн,3,0
Сибирь,Трактор,2,0
Барыс,Северсталь,1,5
Салават Юлаев,Локомотив,4,3
Торпедо НН,Нефтехимик,6,3
Динамо М,Витязь,2,5
Спартак,Куньлунь РС,4,2
Йокерит,Динамо Р,8,0
Авангард,СКА,1,5
Адмирал,Динамо Мн,2,3
Амур,ЦСКА,3,4
Сибирь,Барыс,4,3
Автомобилист,Ак Барс,2,3
Металлург Мг,Трактор,3,2
Салават Юлаев,Северсталь,2,3
Куньлунь РС,Нефтехимик,2,4
Витязь,ХК Сочи,1,3
Динамо М,Локомотив,4,1
Спартак,Торпедо НН,5,3
Динамо Р,СКА,4,5
Адмирал,Барыс,1,4
Амур,Йокерит,2,1
Сибирь,ЦСКА,1,0
Автомобилист,Витязь,5,2
Металлург Мг,Ак Барс,3,1
Локомотив,Нефтехимик,1,2
Северсталь,Торпедо НН,2,1
Спартак,ХК Сочи,1,3
Авангард,Салават Юлаев,2,1
Динамо М,СКА,2,3
Адмирал,Йокерит,1,4
Амур,Барыс,0,1
Автомобилист,Куньлунь РС,8,0
Металлург Мг,Витязь,2,1
Трактор,Ак Барс,5,0
ХК Сочи,Торпедо НН,2,0
Локомотив,Спартак,4,2
Динамо Мн,Салават Юлаев,3,5
Динамо Р,Динамо М,4,1
Сибирь,Йокерит,0,2
Трактор,Витязь,2,4
Ак Барс,Авангард,2,1
Нефтехимик,Куньлунь РС,3,5
Северсталь,Спартак,3,2
Торпедо НН,Локомотив,3,2
СКА,Металлург Мг,2,3
ЦСКА,Автомобилист,1,0
Динамо Мн,Динамо М,3,7
Барыс,Йокерит,1,4
Салават Юлаев,Амур,3,2
Трактор,Адмирал,6,1
Нефтехимик,Авангард,2,1
ХК Сочи,Куньлунь РС,1,3
Ак Барс,Сибирь,0,2
Локомотив,Металлург Мг,3,2
Северсталь,Автомобилист,3,2
Торпедо НН,Динамо Мн,4,0
СКА,Спартак,1,2
Барыс,Трактор,4,5
Салават Юлаев,Авангард,2,4
Нефтехимик,Адмирал,5,2
Витязь,ЦСКА,5,6
Динамо М,Амур,0,1
Динамо Р,ХК Сочи,0,3
Куньлунь РС,Сибирь,1,3
Ак Барс,Автомобилист,5,4
Северсталь,Металлург Мг,5,2
Спартак,Динамо Мн,3,4
Авангард,Динамо М,1,3
Локомотив,Амур,3,4
Торпедо НН,ХК Сочи,5,1
Витязь,Адмирал,0,1
ЦСКА,СКА,4,0
Динамо Р,Йокерит,1,4
Спартак,Сибирь,0,3
Авангард,Куньлунь РС,5,0
Сибирь,Нефтехимик,3,2
Трактор,Металлург Мг,3,2
Авангард,Витязь,3,0
Куньлунь РС,Амур,4,5
Динамо М,Йокерит,3,1
ЦСКА,Северсталь,3,2
Динамо Мн,Локомотив,3,7
Динамо Р,Адмирал,3,2
Торпедо НН,Салават Юлаев,0,2
Спартак,Ак Барс,0,1
ХК Сочи,Барыс,5,2
Автомобилист,Нефтехимик,3,4
Металлург Мг,Амур,5,2
Трактор,Сибирь,3,2
Куньлунь РС,Авангард,1,4
СКА,Локомотив,1,3
ЦСКА,Динамо М,2,3
Динамо Мн,Северсталь,3,4
Йокерит,Адмирал,4,1
Витязь,Салават Юлаев,2,4
Спартак,Барыс,5,2
Динамо Р,Ак Барс,1,3
Автомобилист,Амур,4,0
Трактор,Нефтехимик,0,1
Авангард,Металлург Мг,4,2
Торпедо НН,Адмирал,4,1
СКА,Сибирь,1,2
ХК Сочи,Локомотив,1,3
Динамо Мн,ЦСКА,3,6
Северсталь,Барыс,3,4
Торпедо НН,Ак Барс,2,3
Витязь,Куньлунь РС,2,3
Динамо М,Салават Юлаев,3,1
Йокерит,Спартак,2,4
Автомобилист,Металлург Мг,0,3
Трактор,Адмирал,2,1
Нефтехимик,Локомотив,1,0
ХК Сочи,Динамо Р,1,0
ЦСКА,СКА,3,1
Динамо Мн,Сибирь,1,2
Амур,Авангард,1,3
Витязь,Северсталь,1,2
Динамо М,Куньлунь РС,4,1
Спартак,Йокерит,1,6
Барыс,Динамо Мн,3,2
Салават Юлаев,Торпедо НН,0,1
Ак Барс,Динамо Р,4,2
Нефтехимик,СКА,2,8
Адмирал,Авангард,2,1
Амур,Автомобилист,3,0
Сибирь,ХК Сочи,1,2
Локомотив,Йокерит,2,1
Северсталь,ЦСКА,3,0
Динамо М,Трактор,7,6
Барыс,Торпедо НН,4,2
Металлург Мг,Динамо Мн,5,4
Салават Юлаев,Витязь,2,3
Ак Барс,СКА,3,4
Куньлунь РС,Спартак,4,6
Нефтехимик,Динамо Р,3,2
Адмирал,Автомобилист,1,5
Амур,ХК Сочи,0,2
Сибирь,Авангард,5,4
Локомотив,Трактор,1,2
Йокерит,ЦСКА,2,3
Барыс,Витязь,1,3
Северсталь,Торпедо НН,3,1
Адмирал,ХК Сочи,2,8
Амур,Салават Юлаев,2,1
Сибирь,Автомобилист,3,1
Куньлунь РС,Металлург Мг,1,5
Нефтехимик,Ак Барс,2,3
Спартак,Динамо М,4,1
Динамо Мн,Трактор,2,1
Йокерит,Локомотив,2,0
Динамо Р,ЦСКА,2,3
Торпедо НН,Витязь,4,1
СКА,Северсталь,1,3
Адмирал,Салават Юлаев,0,2
Авангард,Нефтехимик,6,1
Динамо М,Ак Барс,4,1
Спартак,Локомотив,1,2
ЦСКА,Металлург Мг,6,4
Витязь,Йокерит,2,3
СКА,Динамо Мн,2,1
Динамо Р,Северсталь,2,3
Барыс,Динамо М,2,4
Автомобилист,Спартак,3,1
Трактор,Амур,0,2
Куньлунь РС,Нефтехимик,2,1
Торпедо НН,Металлург Мг,1,3
ХК Сочи,Сибирь,1,2
ЦСКА,Локомотив,1,0
Авангард,Ак Барс,1,3
Витязь,Динамо Мн,2,5
СКА,Йокерит,3,1
Автомобилист,Адмирал,2,1
Салават Юлаев,Динамо М,0,4
Трактор,Спартак,4,1
Куньлунь РС,Сибирь,2,7
Нефтехимик,Барыс,2,4
Северсталь,Амур,1,2
Торпедо НН,Динамо Р,3,4
ХК Сочи,Динамо Мн,4,3
Автомобилист,СКА,0,1
Металлург Мг,Спартак,2,3
Салават Юлаев,Адмирал,4,2
Трактор,Куньлунь РС,3,2
Авангард,Динамо Р,4,1
Ак Барс,Барыс,1,2
Локомотив,Сибирь,3,2
Северсталь,Витязь,3,1
Динамо М,ЦСКА,2,3
Йокерит,Амур,2,0
Салават Юлаев,ХК Сочи,5,0
Металлург Мг,Куньлунь РС,6,4
Трактор,СКА,1,4
Локомотив,Авангард,3,2
Нефтехимик,Сибирь,0,3
Северсталь,Йокерит,3,4
Динамо М,Адмирал,1,2
ЦСКА,Торпедо НН,2,5
Динамо Мн,Витязь,1,4
Динамо Р,Амур,1,2
Барыс,ХК Сочи,5,2
Барыс,Куньлунь РС,7,4
Металлург Мг,СКА,1,5
Ак Барс,Нефтехимик,5,2
Локомотив,Автомобилист,0,2
Северсталь,Авангард,2,3
Спартак,Йокерит,2,0
Динамо Мн,Торпедо НН,1,2
Динамо Р,Витязь,2,3
Сибирь,Трактор,2,4
Адмирал,Амур,2,1
Сибирь,Куньлунь РС,3,2
Барыс,Нефтехимик,1,3
Металлург Мг,Авангард,3,2
Ак Барс,Салават Юлаев,2,4
Локомотив,ЦСКА,3,2
СКА,Динамо М,1,2
Спартак,Автомобилист,5,2
ХК Сочи,Северсталь,5,4
Динамо Мн,Йокерит,5,3
Динамо Р,Торпедо НН,1,3
Амур,Адмирал,0,1
Куньлунь РС,Салават Юлаев,3,4
СКА,Спартак,4,2
Йокерит,ЦСКА,1,3
Динамо Р,Динамо Мн,1,4
Сибирь,Локомотив,2,1
Автомобилист,Барыс,0,2
Металлург Мг,Северсталь,4,3
Авангард,Торпедо НН,3,2
Ак Барс,Трактор,5,1
Динамо М,ХК Сочи,2,3
Амур,Нефтехимик,1,3
Витязь,Динамо Р,2,3
СКА,ЦСКА,3,2
Спартак,Салават Юлаев,3,2
Йокерит,Динамо Мн,2,1
Адмирал,Локомотив,0,3
Амур,Нефтехимик,4,5
Трактор,Северсталь,6,1
Авангард,Металлург Мг,4,2
Ак Барс,Барыс,5,3
Куньлунь РС,Торпедо НН,0,4
Витязь,ХК Сочи,3,2
Динамо М,Автомобилист,7,1
Куньлунь РС,Динамо Мн,4,6
Адмирал,Нефтехимик,3,2
Амур,Локомотив,2,4
Сибирь,СКА,3,4
Салават Юлаев,Автомобилист,4,2
Трактор,Барыс,4,2
Ак Барс,Северсталь,3,4
Витязь,Металлург Мг,3,5
Динамо М,Торпедо НН,6,3
ХК Сочи,Спартак,2,3
ЦСКА,Динамо Мн,6,4
Йокерит,Авангард,1,5
Динамо Р,Куньлунь РС,3,2
Адмирал,Нефтехимик,2,4
Амур,СКА,3,2
Сибирь,Салават Юлаев,3,2
Барыс,Автомобилист,3,2
Ак Барс,Металлург Мг,4,3
Торпедо НН,Спартак,1,3
Северсталь,Витязь,2,3
ХК Сочи,Трактор,2,4
ЦСКА,Динамо М,3,4
Йокерит,Куньлунь РС,7,1
Динамо Р,Авангард,3,4
Адмирал,СКА,1,3
Сибирь,Нефтехимик,3,2
Барыс,Салават Юлаев,1,2
Автомобилист,Ак Барс,1,5
Локомотив,Спартак,2,4
Динамо Мн,Металлург Мг,1,0
Авангард,Трактор,1,3
Северсталь,Динамо М,4,2
Торпедо НН,Динамо Р,3,4
ХК Сочи,Витязь,3,4
ЦСКА,Йокерит,2,3
Адмирал,Амур,3,5
Сибирь,Ак Барс,2,6
Барыс,Динамо Р,7,1
Салават Юлаев,Металлург Мг,3,4
Локомотив,Динамо М,1,2
Нефтехимик,Торпедо НН,2,1
Северсталь,Динамо Мн,3,5
ЦСКА,Авангард,3,2
Куньлунь РС,СКА,1,5
Амур,Ак Барс,1,2
Сибирь,Спартак,1,2
Барыс,Металлург Мг,3,2
Салават Юлаев,Динамо Р,6,4
Трактор,Локомотив,4,3
Витязь,Динамо Мн,3,4
ХК Сочи,Торпедо НН,1,2
ЦСКА,Нефтехимик,2,1
Йокерит,Динамо М,5,1
Куньлунь РС,Северсталь,1,7
Адмирал,Ак Барс,4,2
Амур,Спартак,3,2
Металлург Мг,Локомотив,3,1
Авангард,Динамо Мн,3,0
СКА,Торпедо НН,3,0
ХК Сочи,Нефтехимик,4,1
ЦСКА,Витязь,3,4
Куньлунь РС,Трактор,0,4
Адмирал,Спартак,4,3
Амур,Сибирь,0,1
Металлург Мг,Барыс,3,4
Северсталь,ХК Сочи,4,2
Витязь,Авангард,1,4
Динамо М,Нефтехимик,3,4
Амур,Сибирь,2,3
Куньлунь РС,Трактор,2,4
Витязь,Северсталь,2,3
Динамо М,Йокерит,2,3
СКА,Ак Барс,1,3
Адмирал,Сибирь,2,1
Нефтехимик,Трактор,4,2
Автомобилист,Северсталь,5,2
СКА,ХК Сочи,2,1
Адмирал,Сибирь,3,2
ЦСКА,Ак Барс,2,3
Трактор,Автомобилист,1,3
Локомотив,Спартак,7,2
Северсталь,Амур,6,4
Торпедо НН,Салават Юлаев,2,3
Авангард,Сибирь,1,0
Динамо Р,Барыс,2,3
Металлург Мг,Куньлунь РС,2,1
Ак Барс,Витязь,0,4
Нефтехимик,СКА,1,2
ЦСКА,ХК Сочи,3,1
Автомобилист,Спартак,1,0
Локомотив,Амур,2,0
Северсталь,Салават Юлаев,1,4
Торпедо НН,Сибирь,4,3
Авангард,Динамо М,2,1
Динамо Мн,Барыс,5,4
Динамо Р,Йокерит,1,3
Металлург Мг,ХК Сочи,6,0
Трактор,Куньлунь РС,3,1
Ак Барс,СКА,3,2
Нефтехимик,Витязь,4,3
Северсталь,Сибирь,2,1
Авангард,Амур,8,2
Динамо М,Спартак,1,3
ЦСКА,Барыс,3,1
Динамо Мн,Салават Юлаев,3,4
Автомобилист,Куньлунь РС,7,0
Трактор,ХК Сочи,2,3
Торпедо НН,СКА,4,6
Динамо Р,Витязь,4,3
Металлург Мг,Амур,3,1
Динамо М,Локомотив,2,3
Спартак,Салават Юлаев,5,3
Йокерит,Нефтехимик,6,0
Динамо Мн,Ак Барс,4,5
Сибирь,ЦСКА,1,2
Барыс,Куньлунь РС,3,2
Автомобилист,Торпедо НН,3,4
Металлург Мг,Авангард,0,4
СКА,Локомотив,4,2
Амур,ЦСКА,1,5
Сибирь,Куньлунь РС,5,4
Барыс,Динамо М,4,5
Металлург Мг,Торпедо НН,3,1
Салават Юлаев,Авангард,3,2
Локомотив,Трактор,2,1
Витязь,Северсталь,2,1
СКА,Нефтехимик,5,2
Спартак,Динамо Мн,3,4
ХК Сочи,Ак Барс,0,4
Амур,Динамо М,2,4
Сибирь,Динамо Р,4,3
Барыс,ЦСКА,1,2
Салават Юлаев,Торпедо НН,6,2
Нефтехимик,Автомобилист,3,6
Авангард,СКА,4,3
Витязь,Динамо Мн,2,4
Спартак,Трактор,1,2
ХК Сочи,Металлург Мг,0,1
Амур,Динамо Р,2,1
Сибирь,Динамо М,2,4
Ак Барс,Салават Юлаев,4,1
Куньлунь РС,Автомобилист,2,5
Торпедо НН,Северсталь,3,4
Витязь,Трактор,1,3
Спартак,СКА,0,2
Нефтехимик,Авангард,1,2
Куньлунь РС,Салават Юлаев,2,3
ЦСКА,Металлург Мг,2,4
Автомобилист,Авангард,4,3
Трактор,Амур,5,0
Ак Барс,ХК Сочи,5,3
Динамо М,Спартак,5,0
СКА,Торпедо НН,2,1
Динамо Мн,Сибирь,5,4
Автомобилист,Витязь,3,4
Салават Юлаев,ХК Сочи,2,3
Трактор,Северсталь,0,1
Ак Барс,Авангард,2,1
Нефтехимик,Амур,3,2
СКА,Сибирь,1,4
Металлург Мг,Витязь,1,4
Салават Юлаев,Трактор,3,1
Торпедо НН,Амур,2,3
ХК Сочи,Динамо М,2,3
ЦСКА,Северсталь,5,0
Автомобилист,Динамо Мн,3,4
Локомотив,Нефтехимик,2,3
Авангард,Куньлунь РС,3,1
СКА,Ак Барс,2,3
Йокерит,Сибирь,5,2
Салават Юлаев,Витязь,6,5
Спартак,Амур,3,1
Трактор,Динамо Мн,2,3
Северсталь,Ак Барс,3,2
Торпедо НН,Нефтехимик,5,1
Авангард,Металлург Мг,2,0
Йокерит,ЦСКА,2,4
Сибирь,Автомобилист,6,4
Спартак,Динамо М,5,4
Куньлунь РС,Нефтехимик,3,4
Локомотив,Металлург Мг,3,4
Северсталь,Динамо Мн,1,4
Торпедо НН,Ак Барс,4,2
